age;frequency
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;2
17;0
18;1
19;2
20;4
21;4
22;0
23;1
24;4
25;6
26;6
27;7
28;9
29;10
30;8
31;9
32;14
33;15
34;15
35;12
36;15
37;23
38;19
39;24
40;22
41;35
42;44
43;48
44;49
45;62
46;57
47;65
48;81
49;91
50;110
51;117
52;115
53;145
54;146
55;172
56;172
57;168
58;196
59;202
60;291
61;324
62;323
63;344
64;435
65;533
66;576
67;522
68;521
69;557
70;605
71;637
72;619
73;693
74;603
75;627
76;736
77;726
78;810
79;740
80;768
81;738
82;720
83;744
84;682
85;659
86;672
87;587
88;532
89;467
90;422
91;345
92;286
93;199
94;178
95;117
96;84
97;60
98;41
99;26
100;10
101;7
102;1
103;3
104;1
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
